gender,age,degree,quallife,health,life,happy,income,finalter,hlthphys,hlthmntl,satsoc
NA,64,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Female,22,High School,Good,Good,NA,Pretty Happy,NA,Getting better,Good,Good,Fair
Male,37,Bachelors,Excellent,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
NA,31,Bachelors,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Male,72,High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting worse,Good,Good,Fair
Male,32,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Good,Fair
Female,69,Bachelors,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Very Good,Excellent
Male,32,Bachelors,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Good,Very Good
Female,32,Bachelors,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Good
NA,60,Associate/Junior College,Good,Good,Dull,Not too Happy,$25000 or more,Stayed the same,Good,Very Good,Fair
Male,70,Less than High School,Very Good,NA,NA,Very Happy,$10000 to $14999,Stayed the same,Good,Good,Good
NA,41,Associate/Junior College,Excellent,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Excellent,Excellent
Male,35,Associate/Junior College,Poor,NA,NA,Not too Happy,$10000 to $14999,Getting worse,Poor,Good,Fair
NA,77,Associate/Junior College,Excellent,Good,Exciting,Pretty Happy,Under $1000,Stayed the same,Very Good,Excellent,Excellent
Female,57,High School,Good,Excellent,Routine,Not too Happy,$15000 to $19999,Stayed the same,Very Good,Very Good,Very Good
Female,26,High School,Very Good,Fair,Exciting,Pretty Happy,$10000 to $14999,Getting better,Very Good,Good,Good
Female,56,High School,Fair,NA,NA,Not too Happy,$20000 to $24999,Stayed the same,Good,Good,Good
NA,24,Bachelors,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,56,Less than High School,Fair,NA,NA,Pretty Happy,$8000 to $9999,Getting worse,Fair,Fair,Good
NA,39,Less than High School,Good,Good,Routine,Very Happy,$20000 to $24999,Getting better,Good,Good,Excellent
Male,30,Graduates,Excellent,Excellent,Exciting,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Male,26,Bachelors,Very Good,NA,NA,Pretty Happy,$15000 to $19999,Stayed the same,Very Good,Good,Very Good
NA,31,High School,Fair,Good,Routine,Pretty Happy,$4000 to $4999,Stayed the same,Good,Excellent,Very Good
Male,36,Bachelors,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
Female,69,Associate/Junior College,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Good
NA,39,Bachelors,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Female,53,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting worse,Good,Good,Good
Female,55,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Excellent,Very Good
Male,50,High School,Good,NA,NA,Pretty Happy,$3000 to $3999,Getting worse,Good,Good,Good
Female,31,Graduates,Excellent,Good,Exciting,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,70,Bachelors,Excellent,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
Male,68,Associate/Junior College,Excellent,Excellent,Exciting,Pretty Happy,NA,Stayed the same,Very Good,Very Good,Very Good
Female,73,High School,Very Good,NA,NA,Very Happy,NA,Stayed the same,Very Good,Excellent,Very Good
NA,60,Graduates,Good,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Good,Good,Good
Female,30,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Fair,Good
Male,60,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Female,61,High School,Good,Fair,Routine,Not too Happy,$25000 or more,Stayed the same,Fair,Very Good,Very Good
Male,69,Less than High School,Good,NA,NA,Pretty Happy,$10000 to $14999,Stayed the same,Good,Fair,Good
NA,41,High School,Good,Good,Exciting,Not too Happy,$1000 to $2999,Stayed the same,Good,Fair,Fair
Female,64,Associate/Junior College,Good,Good,Exciting,Pretty Happy,$10000 to $14999,Stayed the same,Good,Very Good,Good
Male,63,High School,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
Female,22,Less than High School,Good,Fair,Exciting,Pretty Happy,$3000 to $3999,Getting better,Good,Very Good,Very Good
Male,33,Less than High School,Fair,NA,NA,Not too Happy,Under $1000,Getting worse,Poor,Good,Poor
Female,56,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Good
NA,30,Associate/Junior College,Excellent,Excellent,Routine,Not too Happy,$25000 or more,Getting better,Excellent,Very Good,Very Good
Male,89,Associate/Junior College,Very Good,Fair,Routine,Pretty Happy,$20000 to $24999,Getting worse,Fair,Good,Fair
Male,61,Bachelors,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
Female,55,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
NA,67,Graduates,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
Male,61,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Very Good
Female,69,High School,Good,NA,NA,Very Happy,$10000 to $14999,Stayed the same,Poor,Excellent,Good
Female,30,Bachelors,Good,Good,Routine,Not too Happy,$25000 or more,Getting better,Good,Good,Good
Female,70,High School,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Fair,Fair,Poor
NA,41,High School,Excellent,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Excellent,Excellent,Very Good
NA,67,Less than High School,Poor,Poor,Dull,Pretty Happy,$15000 to $19999,Stayed the same,Poor,Poor,Poor
NA,62,High School,Very Good,Good,Routine,Not too Happy,$10000 to $14999,Stayed the same,Very Good,Very Good,Fair
NA,36,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Fair
Male,51,Associate/Junior College,Very Good,NA,NA,Pretty Happy,NA,Getting better,Very Good,Very Good,Very Good
NA,65,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Good,Good,Very Good
Female,63,High School,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Female,23,Bachelors,Excellent,Excellent,Routine,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Male,89,High School,Good,NA,NA,Very Happy,$1000 to $2999,Stayed the same,Good,Good,Good
NA,47,Associate/Junior College,Good,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Good,Good,Good
Male,75,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Very Good,Very Good,Very Good
Female,24,High School,Good,Good,Exciting,Very Happy,$25000 or more,Getting worse,Good,Good,Very Good
NA,42,High School,NA,Excellent,Exciting,Pretty Happy,$25000 or more,Getting better,NA,NA,NA
NA,29,High School,Fair,Poor,Exciting,Very Happy,$10000 to $14999,Stayed the same,Poor,Excellent,Excellent
Male,26,Associate/Junior College,Very Good,NA,NA,Pretty Happy,$20000 to $24999,Stayed the same,Fair,Good,Good
NA,89,Less than High School,Excellent,Good,Routine,Pretty Happy,$7000 to $7999,Stayed the same,Very Good,Very Good,Good
NA,76,High School,Fair,Fair,Exciting,Pretty Happy,$25000 or more,Getting worse,Fair,Good,Very Good
Male,36,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
NA,77,High School,Very Good,Good,Routine,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Female,32,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,72,High School,Good,Good,Routine,Pretty Happy,$10000 to $14999,Getting worse,Good,Good,Good
Male,39,Bachelors,Very Good,Good,Exciting,Very Happy,$25000 or more,Stayed the same,Good,Good,Good
NA,71,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Fair,Very Good,Very Good
Female,31,Graduates,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Excellent
Female,69,Graduates,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Female,35,Less than High School,Very Good,Excellent,Exciting,Very Happy,$15000 to $19999,Getting better,Excellent,Excellent,Excellent
Female,80,Graduates,Excellent,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Excellent,Very Good
NA,49,Bachelors,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Female,42,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting worse,Very Good,Very Good,Very Good
NA,36,Less than High School,Good,Good,Routine,Very Happy,$15000 to $19999,Stayed the same,Good,Very Good,Very Good
Female,71,High School,Fair,Poor,Routine,Pretty Happy,$25000 or more,Getting better,Poor,Good,Very Good
Female,64,Less than High School,Good,NA,NA,Pretty Happy,Under $1000,Stayed the same,Poor,Poor,Good
NA,57,Associate/Junior College,Very Good,Excellent,Routine,Pretty Happy,$20000 to $24999,Stayed the same,Very Good,Very Good,Good
Male,24,High School,Very Good,Fair,Routine,Very Happy,NA,Getting better,Fair,Very Good,Very Good
NA,47,High School,Very Good,Good,Routine,Very Happy,$25000 or more,Getting better,Fair,Very Good,Very Good
Female,23,High School,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
NA,46,Associate/Junior College,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
Female,57,Less than High School,Excellent,NA,NA,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
Male,50,Graduates,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Excellent,Very Good
Male,34,High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Fair,Fair,Good
Female,20,High School,Very Good,Good,Exciting,Pretty Happy,NA,Getting better,Very Good,Very Good,Very Good
NA,49,High School,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,30,High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Fair,Good,Very Good
NA,29,High School,Good,Fair,Exciting,Pretty Happy,$25000 or more,Stayed the same,Fair,Fair,Fair
Male,61,High School,Excellent,NA,NA,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Poor
NA,29,Graduates,Good,Fair,Exciting,Pretty Happy,$20000 to $24999,Stayed the same,Good,Good,Good
Female,21,High School,Excellent,Good,Exciting,Pretty Happy,$1000 to $2999,Getting better,Excellent,Excellent,Excellent
Female,24,High School,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
NA,34,Graduates,Excellent,Good,Exciting,Very Happy,NA,Getting better,Good,Very Good,Good
Male,25,High School,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Very Good
NA,21,High School,Fair,Fair,Routine,Not too Happy,$1000 to $2999,Getting worse,Fair,Poor,Good
Female,22,High School,Very Good,Excellent,Exciting,Pretty Happy,NA,Stayed the same,Very Good,Excellent,Excellent
NA,38,High School,NA,Fair,Dull,Not too Happy,NA,Getting better,NA,NA,NA
Female,70,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Good
Male,33,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Excellent
NA,75,Less than High School,Very Good,Fair,Exciting,Very Happy,$25000 or more,Stayed the same,Fair,Very Good,Excellent
Female,56,High School,Good,Fair,Routine,Pretty Happy,$20000 to $24999,Getting worse,Fair,Good,Fair
Female,68,Bachelors,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
NA,39,High School,Good,Good,Routine,Pretty Happy,$10000 to $14999,Getting better,Good,Good,Good
Male,54,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Very Good,Good,Very Good
Female,60,High School,Good,NA,NA,Not too Happy,$25000 or more,Stayed the same,Good,Good,Fair
NA,60,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Female,36,Graduates,Fair,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Fair,Good,Very Good
NA,31,High School,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
NA,41,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,29,High School,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Fair
Male,38,Bachelors,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Excellent
NA,42,High School,Very Good,Fair,Exciting,Pretty Happy,$25000 or more,Getting worse,Fair,Good,Good
NA,69,High School,Good,Poor,Routine,Pretty Happy,$25000 or more,Stayed the same,Poor,Very Good,Very Good
NA,29,Graduates,Very Good,Excellent,Routine,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
Male,33,Less than High School,Excellent,Fair,Dull,Pretty Happy,$10000 to $14999,Stayed the same,Excellent,Poor,Fair
NA,27,High School,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Female,42,Associate/Junior College,Good,Good,Routine,Not too Happy,$25000 or more,Getting worse,Good,Excellent,Very Good
Female,57,Bachelors,Excellent,NA,NA,Very Happy,NA,Getting better,Excellent,Excellent,Very Good
Male,41,Bachelors,Good,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Very Good,Very Good,Good
Male,70,Bachelors,Very Good,Good,Exciting,Very Happy,$20000 to $24999,Getting worse,Good,Excellent,Excellent
NA,31,Less than High School,Fair,Fair,Routine,Pretty Happy,$15000 to $19999,Stayed the same,Fair,Fair,Good
Male,68,Associate/Junior College,Very Good,Good,Routine,Very Happy,$25000 or more,Getting better,Good,Very Good,Excellent
NA,38,Graduates,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Good
NA,57,High School,Very Good,Good,Exciting,Very Happy,NA,Stayed the same,Good,Good,Good
Female,38,Associate/Junior College,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
NA,30,Graduates,Excellent,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Excellent,Very Good
NA,68,Less than High School,Very Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
NA,75,High School,Good,NA,NA,Pretty Happy,NA,Getting worse,Good,Very Good,Very Good
NA,82,High School,Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Good,Very Good
Female,71,Associate/Junior College,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Good
NA,44,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Good
NA,82,High School,Good,Good,Routine,Pretty Happy,$10000 to $14999,Getting worse,Good,Good,Very Good
NA,69,High School,Very Good,Excellent,NA,Very Happy,NA,NA,Excellent,Excellent,Excellent
Female,40,Bachelors,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
NA,61,Less than High School,Very Good,Good,NA,Pretty Happy,Under $1000,Stayed the same,Very Good,Good,Good
NA,70,High School,Good,NA,NA,Very Happy,$20000 to $24999,Stayed the same,Poor,Fair,Poor
NA,57,High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Very Good,Excellent
Male,37,Bachelors,Fair,Fair,Exciting,Not too Happy,$25000 or more,Stayed the same,Fair,Fair,Poor
Female,64,Bachelors,Poor,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Poor,Good,Good
NA,74,Graduates,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,71,High School,Good,Good,Exciting,Pretty Happy,$10000 to $14999,Getting better,Good,Good,Good
Female,22,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Good
NA,26,Less than High School,Very Good,Poor,Dull,Not too Happy,$20000 to $24999,Stayed the same,Good,Fair,Fair
NA,52,High School,Good,Fair,Routine,Pretty Happy,$25000 or more,Getting worse,Fair,Good,Good
NA,84,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
NA,22,Less than High School,Good,Poor,Routine,Pretty Happy,$25000 or more,Stayed the same,Poor,Good,Good
NA,28,High School,Very Good,Excellent,Exciting,Pretty Happy,$20000 to $24999,Getting better,Very Good,Very Good,Excellent
NA,60,High School,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Excellent,Very Good,Good
Male,31,High School,Fair,NA,NA,Not too Happy,$10000 to $14999,Stayed the same,Fair,Good,Very Good
NA,45,High School,Fair,Fair,Routine,Not too Happy,$25000 or more,Getting worse,Fair,Good,Poor
Female,49,High School,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
NA,32,Less than High School,Good,Good,Dull,Pretty Happy,$3000 to $3999,Stayed the same,Good,Good,Very Good
Male,43,Less than High School,Fair,Good,Dull,Not too Happy,$8000 to $9999,Getting worse,Good,Poor,Fair
NA,45,High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Good,Fair
NA,65,High School,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,32,High School,Very Good,Good,Exciting,Pretty Happy,$10000 to $14999,Getting better,Excellent,Excellent,Excellent
Male,23,Less than High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Good
NA,52,Graduates,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,58,Bachelors,Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
Male,21,High School,Very Good,NA,NA,Pretty Happy,NA,Getting better,Very Good,Good,Excellent
Male,77,Bachelors,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Excellent,Very Good,Very Good
NA,86,Less than High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
Male,52,Associate/Junior College,Very Good,Good,Routine,Pretty Happy,NA,Stayed the same,Very Good,Very Good,Good
NA,66,Bachelors,Very Good,Excellent,Exciting,Pretty Happy,$25000 or more,Stayed the same,Excellent,Very Good,Good
NA,72,High School,Excellent,NA,NA,Pretty Happy,NA,NA,Good,Very Good,Very Good
NA,47,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Good,Good,Good
Female,58,Bachelors,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Fair,Good,Good
NA,35,Graduates,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting better,Good,Excellent,Fair
Male,50,Associate/Junior College,Good,Fair,Exciting,Very Happy,$25000 or more,Getting better,Fair,Very Good,Very Good
Male,84,Graduates,Excellent,NA,NA,Very Happy,NA,Stayed the same,Very Good,Very Good,Very Good
Female,22,High School,Good,Good,Routine,Not too Happy,$25000 or more,Stayed the same,Good,Fair,Excellent
Male,29,Bachelors,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,26,High School,Excellent,Fair,Exciting,Very Happy,$20000 to $24999,Getting better,Fair,Excellent,Excellent
Male,24,Bachelors,Very Good,Good,Routine,Very Happy,NA,Getting better,Good,Very Good,Very Good
NA,NA,High School,Excellent,Good,Exciting,Pretty Happy,$20000 to $24999,Getting better,Excellent,Excellent,Very Good
Female,38,Associate/Junior College,Very Good,Good,Exciting,Very Happy,$15000 to $19999,Getting better,Good,Very Good,Excellent
Female,31,Bachelors,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
NA,31,Bachelors,Excellent,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Good,Good,Good
Male,30,Bachelors,Very Good,Good,Exciting,Not too Happy,Under $1000,Stayed the same,Very Good,Very Good,Good
Female,46,Graduates,Excellent,NA,NA,Pretty Happy,NA,Getting better,Very Good,Very Good,Good
Female,49,Bachelors,Fair,Fair,Exciting,Not too Happy,$10000 to $14999,Getting worse,Fair,Excellent,Excellent
NA,29,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Getting worse,Very Good,Good,Very Good
NA,45,High School,Good,Fair,Routine,Pretty Happy,$10000 to $14999,Getting worse,Fair,Very Good,Good
Female,67,High School,Good,NA,NA,Not too Happy,$20000 to $24999,Stayed the same,Fair,Very Good,Good
Male,34,High School,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Female,82,High School,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting worse,Excellent,Excellent,Excellent
Female,44,High School,Good,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,48,Graduates,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
Male,24,Less than High School,Good,NA,NA,Not too Happy,$10000 to $14999,Stayed the same,Good,Good,Fair
NA,56,High School,NA,NA,Routine,Very Happy,NA,NA,NA,NA,NA
NA,65,High School,Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting worse,Very Good,Very Good,Fair
Male,48,High School,Very Good,Good,Exciting,Not too Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,27,High School,Very Good,Good,Dull,Not too Happy,Under $1000,Getting worse,Good,Fair,Poor
NA,55,Graduates,Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting better,Excellent,Excellent,Good
Female,25,High School,Excellent,Good,Routine,Very Happy,Under $1000,Stayed the same,Very Good,Excellent,Excellent
Male,55,High School,Very Good,Fair,Exciting,Not too Happy,$10000 to $14999,Stayed the same,Fair,Excellent,Excellent
Male,71,High School,Fair,Fair,Routine,Pretty Happy,NA,Getting better,Fair,Good,Fair
Female,26,High School,Very Good,NA,NA,Pretty Happy,$20000 to $24999,Getting better,Good,Good,Good
Male,59,High School,Very Good,NA,NA,Very Happy,$25000 or more,Getting worse,Good,Very Good,Very Good
Male,56,High School,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,58,Graduates,Fair,NA,NA,Not too Happy,NA,Getting worse,Poor,Very Good,Poor
NA,27,Associate/Junior College,Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Fair,Fair,Fair
Male,69,High School,Excellent,Excellent,Routine,Very Happy,NA,Getting better,Excellent,Excellent,Very Good
Male,30,High School,Very Good,NA,NA,Pretty Happy,$7000 to $7999,Getting better,Good,Fair,Very Good
Male,71,Bachelors,Excellent,NA,NA,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
NA,53,Less than High School,Fair,Fair,Routine,Not too Happy,$25000 or more,Stayed the same,Fair,Fair,Fair
NA,NA,Associate/Junior College,Fair,NA,NA,Not too Happy,$25000 or more,Getting worse,Good,Good,Poor
NA,34,Less than High School,Fair,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Fair,Good,Fair
Male,37,Less than High School,Good,Good,Routine,Not too Happy,$25000 or more,Getting worse,Good,Fair,Poor
Male,29,Associate/Junior College,Very Good,NA,NA,Pretty Happy,$10000 to $14999,Getting better,Poor,Good,Fair
NA,63,High School,Very Good,Fair,Routine,Pretty Happy,$20000 to $24999,Stayed the same,Good,Good,Very Good
Male,32,Associate/Junior College,Excellent,Fair,Dull,Very Happy,$15000 to $19999,Getting better,Fair,Good,NA
Female,33,Bachelors,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Excellent,Very Good,Good
NA,79,High School,Very Good,NA,NA,Very Happy,NA,Stayed the same,Very Good,Very Good,Very Good
NA,22,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Excellent,Very Good
NA,24,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,31,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
NA,43,Bachelors,Very Good,Good,Exciting,Pretty Happy,NA,Getting better,Good,Good,Good
Male,56,Bachelors,Excellent,Excellent,Exciting,Very Happy,NA,Getting better,Excellent,Excellent,Excellent
Female,54,High School,Excellent,NA,NA,Pretty Happy,NA,Getting better,Good,Good,Good
NA,47,High School,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Very Good
NA,72,Bachelors,Excellent,Good,Exciting,Very Happy,NA,Stayed the same,Very Good,Excellent,Very Good
Female,60,Graduates,Excellent,Excellent,Exciting,Very Happy,NA,Getting better,Excellent,Excellent,Very Good
Female,34,Graduates,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,38,Bachelors,Very Good,Excellent,Routine,Pretty Happy,NA,Stayed the same,Excellent,Very Good,Good
Male,58,Graduates,Very Good,NA,NA,Pretty Happy,NA,Getting better,Good,Very Good,Very Good
NA,67,Bachelors,Fair,Poor,Routine,Not too Happy,$10000 to $14999,Getting worse,Poor,Good,Fair
Male,39,High School,Very Good,Excellent,Exciting,Pretty Happy,$8000 to $9999,Getting better,Excellent,Good,Fair
Male,75,High School,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
NA,65,Associate/Junior College,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Female,56,High School,Good,NA,NA,Pretty Happy,$10000 to $14999,Stayed the same,Fair,Excellent,Good
NA,35,Associate/Junior College,Very Good,Fair,Routine,Pretty Happy,$25000 or more,Getting worse,Good,Fair,Good
Male,57,Graduates,Very Good,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Female,63,High School,Good,NA,NA,Pretty Happy,$20000 to $24999,Getting better,Good,Very Good,Good
NA,29,High School,Good,Good,Routine,Pretty Happy,$20000 to $24999,Stayed the same,Good,Good,Very Good
NA,66,High School,Excellent,Fair,Exciting,Very Happy,$25000 or more,Getting better,Fair,Very Good,Excellent
NA,58,Associate/Junior College,Good,Poor,Routine,Pretty Happy,$25000 or more,Stayed the same,Poor,Good,Poor
NA,77,Bachelors,Good,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Good,Very Good,Very Good
NA,38,Less than High School,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
Male,34,Associate/Junior College,Excellent,Excellent,Exciting,Very Happy,$25000 or more,Getting better,Excellent,Excellent,Excellent
Male,27,High School,Good,NA,NA,Not too Happy,$25000 or more,Getting worse,Good,Good,Good
NA,46,Less than High School,Excellent,Fair,Exciting,Very Happy,$15000 to $19999,Stayed the same,Fair,Excellent,Excellent
Male,45,Associate/Junior College,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
NA,23,Associate/Junior College,Fair,Fair,Routine,Pretty Happy,$15000 to $19999,Stayed the same,Fair,Good,Fair
Male,25,Associate/Junior College,Very Good,Good,Exciting,Very Happy,$25000 or more,Getting better,Good,Good,Fair
Female,23,High School,Excellent,NA,NA,Pretty Happy,$20000 to $24999,Getting better,Very Good,Very Good,Very Good
Female,57,High School,Poor,NA,NA,Very Happy,$25000 or more,Stayed the same,Poor,Very Good,Good
