gender,age,degree,quallife,health,life,happy,income,finalter,hlthphys,hlthmntl,satsoc
Male,47,Associate/Junior College,Very Good,Good,Routine,Pretty Happy,NA,Stayed the same,Very Good,Very Good,Good
Male,63,Less than High School,Very Good,NA,NA,Very Happy,NA,NA,Very Good,Very Good,Very Good
NA,71,Bachelors,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
NA,42,High School,Good,Good,NA,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
Male,37,High School,Very Good,NA,NA,Very Happy,$25000 or more,Stayed the same,Very Good,Good,Very Good
NA,40,High School,Very Good,Excellent,Routine,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Good
Female,70,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Female,28,Bachelors,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Good
NA,53,High School,Poor,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
Female,46,High School,Very Good,Good,Exciting,Pretty Happy,NA,Stayed the same,Very Good,Very Good,Fair
Female,55,Graduates,Very Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Good
Female,28,Graduates,Fair,NA,NA,Pretty Happy,$8000 to $9999,Stayed the same,Very Good,Very Good,Good
Female,42,Graduates,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Good,Fair
NA,77,Graduates,Very Good,Excellent,Exciting,Not too Happy,$25000 or more,Stayed the same,Excellent,Excellent,Fair
Female,29,Graduates,Excellent,NA,NA,Very Happy,NA,Getting better,Excellent,Excellent,Excellent
Male,62,Less than High School,Fair,NA,NA,Not too Happy,NA,Getting worse,Fair,NA,NA
NA,30,Bachelors,Good,Fair,Routine,Pretty Happy,$25000 or more,Stayed the same,Fair,Good,Fair
Female,22,High School,Very Good,Fair,Routine,Pretty Happy,NA,Stayed the same,Good,Fair,Good
Male,69,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Good,Fair
NA,45,Bachelors,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,32,High School,Good,Excellent,Exciting,Pretty Happy,NA,Getting better,Good,Good,Good
Male,60,Less than High School,Fair,Good,Dull,Very Happy,$8000 to $9999,Stayed the same,Fair,Fair,Good
NA,48,Less than High School,Poor,Fair,Routine,Not too Happy,$25000 or more,Getting worse,Fair,Very Good,Fair
NA,81,High School,Poor,Poor,Routine,Not too Happy,$1000 to $2999,Stayed the same,Fair,Good,Very Good
Female,50,Graduates,Very Good,Excellent,Routine,Pretty Happy,NA,Getting better,Excellent,Excellent,Very Good
Male,78,High School,Very Good,Fair,Exciting,Very Happy,$25000 or more,Getting better,Good,Good,Good
Female,56,Graduates,Good,NA,NA,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Fair
NA,60,High School,Good,Good,Routine,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Fair
Female,23,High School,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
NA,67,High School,Fair,NA,NA,Pretty Happy,NA,Getting worse,Fair,Good,Good
Male,54,Bachelors,Very Good,Good,Routine,Very Happy,NA,Getting better,Very Good,Excellent,Good
Male,62,Associate/Junior College,Very Good,NA,NA,Not too Happy,$25000 or more,Getting worse,Fair,Very Good,Very Good
Male,55,Associate/Junior College,Excellent,Good,Exciting,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Excellent
Male,56,High School,Excellent,NA,NA,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Excellent
Female,58,Associate/Junior College,Excellent,NA,NA,Pretty Happy,$25000 or more,Getting better,Fair,Excellent,Good
Male,74,High School,Fair,NA,NA,Not too Happy,$10000 to $14999,Getting worse,Poor,Good,Fair
Female,70,Bachelors,Excellent,NA,NA,Pretty Happy,NA,Getting better,Very Good,Very Good,Excellent
NA,35,Bachelors,Very Good,Good,Exciting,Very Happy,NA,Getting better,Good,Very Good,Very Good
Female,65,Less than High School,Good,NA,NA,Pretty Happy,$25000 or more,Getting worse,Fair,Very Good,Good
Male,42,Associate/Junior College,Good,Fair,Dull,Pretty Happy,$25000 or more,Getting better,Fair,Good,Fair
Male,48,High School,Very Good,Excellent,Routine,Very Happy,$25000 or more,Stayed the same,Very Good,Very Good,Very Good
NA,32,High School,Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
Male,56,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Good
NA,61,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Excellent,Good
NA,76,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Very Good,Excellent,Very Good
Male,59,Bachelors,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Very Good,Good,Very Good
NA,69,Bachelors,Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Good
Female,48,Graduates,Very Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Very Good,Good,Good
NA,68,Graduates,Excellent,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Good,Excellent,Good
Male,39,Bachelors,Good,Excellent,Exciting,Very Happy,Under $1000,Getting better,Excellent,Excellent,Excellent
NA,38,Graduates,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,39,Graduates,Very Good,Good,Exciting,Very Happy,$25000 or more,Stayed the same,Very Good,Good,Good
Male,52,High School,Excellent,NA,NA,Very Happy,NA,Getting better,Very Good,Excellent,Very Good
NA,41,Graduates,Very Good,Excellent,Exciting,Very Happy,$25000 or more,Stayed the same,Excellent,Excellent,Very Good
Female,60,Bachelors,Very Good,NA,NA,Pretty Happy,NA,Stayed the same,Very Good,Good,Good
Female,69,High School,Very Good,Fair,Exciting,Pretty Happy,NA,Getting worse,Fair,Very Good,Good
Female,60,High School,Very Good,NA,NA,Pretty Happy,NA,Getting worse,Good,Excellent,Very Good
Male,22,High School,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Good,Good,Fair
NA,33,High School,Good,Fair,Exciting,Pretty Happy,$25000 or more,Getting better,Good,Very Good,Very Good
Male,35,Bachelors,Very Good,Excellent,Exciting,Not too Happy,$25000 or more,Getting worse,Good,Fair,Fair
Male,38,Less than High School,Fair,NA,NA,Very Happy,$25000 or more,Stayed the same,Good,Very Good,Very Good
NA,25,High School,Fair,Good,Exciting,Pretty Happy,$25000 or more,Stayed the same,Fair,Good,Fair
Female,55,Associate/Junior College,Fair,Good,Routine,Not too Happy,$25000 or more,Getting better,Good,Fair,Fair
Female,34,High School,Fair,NA,NA,Pretty Happy,$20000 to $24999,Getting worse,Poor,Very Good,Excellent
NA,49,Less than High School,Fair,Fair,Routine,Not too Happy,NA,Getting worse,Fair,Good,Fair
Female,18,High School,Good,NA,NA,Pretty Happy,$15000 to $19999,Getting better,Good,Good,Good
Female,56,High School,Good,NA,NA,Pretty Happy,$25000 or more,Stayed the same,Fair,Very Good,Very Good
NA,19,High School,Very Good,Fair,Routine,Pretty Happy,$25000 or more,Getting better,Fair,Good,Excellent
NA,34,High School,Good,NA,NA,Not too Happy,$25000 or more,Getting worse,Very Good,Very Good,Very Good
Male,26,Bachelors,Very Good,NA,NA,Pretty Happy,$10000 to $14999,Getting better,Fair,Very Good,Good
NA,28,High School,Very Good,Good,Exciting,Pretty Happy,$25000 or more,Getting worse,Good,Very Good,Excellent
Male,59,Graduates,Very Good,NA,NA,Very Happy,$25000 or more,Getting better,Very Good,Very Good,Very Good
Male,39,Graduates,Very Good,Good,Routine,Pretty Happy,$25000 or more,Stayed the same,Very Good,Very Good,Good
Male,77,High School,Very Good,Good,Exciting,Pretty Happy,$4000 to $4999,Getting better,Good,Very Good,Very Good
Male,35,High School,Good,NA,NA,Not too Happy,$4000 to $4999,Getting better,Good,Good,Good
Male,46,Bachelors,Good,Fair,NA,Pretty Happy,$25000 or more,Getting better,Good,Good,Good
NA,57,Less than High School,Excellent,NA,NA,Very Happy,$1000 to $2999,Stayed the same,Good,Poor,Very Good
Male,35,Less than High School,Fair,Good,Exciting,Pretty Happy,$10000 to $14999,Stayed the same,Good,Good,Fair
NA,58,High School,Good,Fair,Routine,Not too Happy,$25000 or more,Stayed the same,Fair,Excellent,Excellent
