gender,age,degree,quallife,health,life,happy,income,confedvac,confedvacy,finalter,hlthphys,hlthmntl,satsoc,white,black,amer_indian_alaska,asian_indian,chinese,filipino,japenese,korean,vietnamese,oth_asian,native_hawaiian,guamanian_chamorro,samoan,oth_pacific_islander,oth_race,hispanic
NA,NA,Less than High School,NA,Good,Routine,Very Happy,Refused,NA,NA,Getting better,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,80,Associate/Junior College,Good,Good,NA,Not too Happy,$20000 to $24999,NA,A great deal,Getting worse,Good,Good,Poor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,66,Associate/Junior College,Very Good,Fair,Routine,Pretty Happy,$25000 or more,A great deal,NA,Getting worse,Fair,Very Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,35,High School,Very Good,Good,NA,Pretty Happy,$25000 or more,Only some,NA,Getting better,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,81,Bachelors,Very Good,Excellent,Routine,Pretty Happy,$25000 or more,NA,NA,Stayed the same,Excellent,Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,21,High School,NA,Good,NA,Pretty Happy,$25000 or more,NA,NA,Stayed the same,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,89,High School,Good,Excellent,Routine,Very Happy,$25000 or more,NA,NA,Stayed the same,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,69,High School,Very Good,Fair,Exciting,Very Happy,$25000 or more,NA,Only some,Getting better,Fair,Very Good,Very Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,70,High School,Good,Excellent,Exciting,Not too Happy,$10000 to $14999,NA,NA,Getting worse,Excellent,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,70,High School,Good,Fair,Dull,Not too Happy,$15000 to $19999,NA,Only some,Getting worse,Fair,Good,Fair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,38,High School,Good,Good,Exciting,Pretty Happy,Refused,NA,NA,Getting better,Good,Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,51,Graduates,Good,Good,Routine,Pretty Happy,Refused,NA,Only some,Stayed the same,Good,Very Good,Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,79,High School,NA,Good,Routine,Pretty Happy,$25000 or more,NA,NA,Stayed the same,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
